GRAPH_NAME,GRAPH_URL,THREADS,MAX_ITERS,TOLERANCE,DISABLE_HYPERTHREADING,THREAD_BIND_POLICY,LOGS_GAPBS,VTUNE_ENABLE,ELAPSED_TIME,SPEEDUP,PARALLEL_EFFICIENCY,ELAPSED_TIME_MEAN,SEQUENTIAL_TIME
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,36,500,1e-06,False,close,True,False,0.020252,3.9108236223582855,0.10863398950995237,0.020252,0.079202
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,44,500,1e-06,True,close,True,False,0.023653,3.433644780788906,0.07803738138156605,0.023653,0.081216
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,44,500,1e-06,False,close,True,False,0.017849999999999998,4.437086834733893,0.1008428826075885,0.017849999999999998,0.079202
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,66,500,1e-06,True,close,True,False,0.02697,3.011345939933259,0.04562645363535241,0.02697,0.081216
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,66,500,1e-06,False,close,True,False,0.018782,4.216909807262272,0.06389257283730716,0.018782,0.079202
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,88,500,1e-06,True,close,True,False,0.027013,3.0065524006959614,0.03416536818972683,0.027013,0.081216
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,88,500,1e-06,False,close,True,False,0.018146000000000002,4.364708475697123,0.04959895995110366,0.018146000000000002,0.079202
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,1,500,1e-06,True,close,True,False,1.1051069999999998,1.0,1.0,1.1051069999999998,1.1051069999999998
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,1,500,1e-06,False,close,True,False,1.105124,1.0,1.0,1.105124,1.105124
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,4,500,1e-06,True,close,True,False,0.48863199999999996,2.2616345225036425,0.5654086306259106,0.48863199999999996,1.1051069999999998
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,4,500,1e-06,False,close,True,False,0.629535,1.7554607766049546,0.43886519415123865,0.629535,1.105124
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,12,500,1e-06,True,close,True,False,0.274409,4.027225783410893,0.3356021486175744,0.274409,1.1051069999999998
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,12,500,1e-06,False,close,True,False,0.29546100000000003,3.7403379803087375,0.31169483169239476,0.29546100000000003,1.105124
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,22,500,1e-06,True,close,True,False,0.25528399999999996,4.3289316995973115,0.1967696227089687,0.25528399999999996,1.1051069999999998
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,22,500,1e-06,False,close,True,False,0.260802,4.237406154860776,0.1926093706754898,0.260802,1.105124
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,28,500,1e-06,True,close,True,False,0.343451,3.217655502531656,0.11491626794755914,0.343451,1.1051069999999998
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,28,500,1e-06,False,close,True,False,0.26349100000000003,4.194162229449962,0.1497915081946415,0.26349100000000003,1.105124
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,36,500,1e-06,True,close,True,False,0.397696,2.778773233826842,0.07718814538407895,0.397696,1.1051069999999998
com-Friendster,https://snap.stanford.edu/data/bigdata/communities/com-friendster.all.cmty.txt.gz,36,500,1e-06,False,close,True,False,0.330573,3.343055845456223,0.09286266237378396,0.330573,1.105124
