GRAPH_NAME,THREADS,DISABLE_HYPERTHREADING,THREAD_BIND_POLICY,AVERAGE_CPU_FREQUENCY,MEMORY_BOUND,CACHE_BOUND,DRAM_BOUND,CPI_RATE,AVERAGE_CPU_FREQUENCY_STD,MEMORY_BOUND_STD,CACHE_BOUND_STD,DRAM_BOUND_STD,CPI_RATE_STD
com-LiveJournal,44,True,spread,2822302824.535688,38.18,47.660000000000004,8.28,1.553585,14155622.528244352,2.420123963767146,9.84291623453131,11.337856940356938,0.04697692923659438
com-LiveJournal,66,False,close,2846438395.362993,25.1,49.82,0.0,2.127317,17201846.98440456,5.252618394667558,9.22859685976151,0.0,0.03916649877765438
com-LiveJournal,66,False,spread,2819006447.7364416,35.38,41.8,0.0,2.6491702,14004621.246473633,1.5738487856207795,2.596150997149431,0.0,0.024362005514735545
com-LiveJournal,66,True,close,2842059615.3296876,53.06,90.08,0.0,1.5138156,16584233.720739655,5.5166112786746195,14.09102551271553,0.0,0.03600076939177825
com-LiveJournal,66,True,spread,2840078334.1187463,52.3,86.38,7.640000000000001,1.5047092,4982714.658897345,6.766830868286866,13.277123182376522,17.083559348098394,0.02787887229067919
com-LiveJournal,88,False,close,2833015160.2870235,28.939999999999998,59.55999999999999,0.0,2.4112794,14710989.352755778,3.3470882868547105,9.106481208458073,0.0,0.039320116210408186
com-LiveJournal,88,False,spread,2820768580.659343,34.0,39.480000000000004,0.0,3.1535552,10141675.69537582,3.2946927019071146,4.7798535542420115,0.0,0.026127792390479552
com-LiveJournal,88,True,close,2866891686.193457,55.0,98.5,3.16,1.3997036,12338168.363560602,4.698403984333405,3.3541019662496847,7.065974808899336,0.029694992689004086
com-LiveJournal,88,True,spread,2865078582.567762,63.32000000000001,100.0,0.0,1.3985454000000002,9642564.310619898,2.919246478117254,0.0,0.0,0.0163659472167058
com-Orkut,1,False,close,3597517041.6372337,39.28,46.3,2.2600000000000002,0.8300107999999999,1313609.5121426668,1.0545141061171268,1.3765899897936216,0.2302172886644268,0.014414623900747466
com-Orkut,1,False,spread,3596256028.824262,32.14,40.34,1.78,0.6877424,1879825.229890369,0.3286335345031005,0.24083189157584564,0.08366600265340758,0.001566087896639302
com-Orkut,1,True,close,3598403516.4043746,33.36,41.339999999999996,1.94,0.7061796,1736176.4247205243,0.801872807869176,0.6655824516917468,0.05477225575051666,0.004195590399455131
com-Orkut,1,True,spread,3596155881.6190004,33.0,41.56,1.6199999999999999,0.7122303999999999,894467.9414455651,0.787400787401182,1.26806939873179,0.9121403400793103,0.004583707538663473
